Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
Women'S Adidas Originals Nmd_Racer Primeknit Shoes,AH2430,14999.0,7499.0,0.5,Adidas Adidas Originals,4.8,41
Women'S Adidas Originals Sleek Shoes,G27341,7599.0,3799.0,0.5,Adidas Originals,3.3,24
Women'S Adidas Swim Puka Slippers,CM0081,999.0,599.0,0.4,Adidas Core / Neo,2.6,37
Women'S Adidas Sport Inspired Questar Ride Shoes,B44832,6999.0,3499.0,0.5,Adidas Core / Neo,4.1,35
Women'S Adidas Originals Taekwondo Shoes,D98205,7999.0,3999.0,0.5,Adidas Originals,3.5,72
Women'S Adidas Sport Inspired Duramo Lite 2.0 Shoes,B75586,4799.0,1920.0,0.6,Adidas Core / Neo,1.0,45
Women'S Adidas Sport Inspired Duramo Lite 2.0 Shoes,CG4051,4799.0,2399.0,0.5,Adidas Core / Neo,4.4,2
Women'S Adidas Swim Puka Slippers,CM0080,999.0,599.0,0.4,Adidas Core / Neo,2.8,7
Women'S Adidas Running Duramo 9 Shoes,B75990,5599.0,2799.0,0.5,Adidas Core / Neo,4.5,16
Men'S Adidas Originals Forest Grove Shoes,EE5761,6599.0,3959.0,0.4,Adidas Originals,4.0,39
Women'S Adidas Originals Swift Run Shoes,EE4553,7599.0,4559.0,0.4,Adidas Originals,2.7,36
Women'S Adidas Originals Continental Vulc Shoes,EF9315,6599.0,3959.0,0.4,Adidas Originals,4.2,35
Women'S Adidas Running Duramo 9 Shoes,F35281,5999.0,2999.0,0.5,Adidas Core / Neo,2.6,97
Women'S Adidas Originals Supercourt Shoes,EF9220,7599.0,4559.0,0.4,Adidas Originals,3.1,62
Men'S Adidas Sport Inspired Response Trail Shoes,EG0000,7999.0,3999.0,0.5,Adidas Core / Neo,3.2,16
Women'S Adidas Running Cosmic 2 Shoes,B44889,5999.0,2999.0,0.5,Adidas Core / Neo,3.1,69
Women'S Adidas Sport Inspired Storm Runner Shoes,CL7417,4599.0,2299.0,0.5,Adidas Core / Neo,1.0,16
Women'S Adidas Sport Inspired Quickspike Shoes,CL7408,3999.0,1999.0,0.5,Adidas Core / Neo,3.1,8
Women'S Adidas Swim Cloudfoam Flip Flops,B43601,3299.0,1649.0,0.5,Adidas Core / Neo,2.7,62
Women'S Adidas Sport Inspired Lite Racer Shoes,EE8245,4299.0,2149.0,0.5,Adidas Core / Neo,3.8,67
Women'S Adidas Running Duramo 9 Shoes,EE8042,5599.0,2799.0,0.5,Adidas Core / Neo,5.0,30
Women'S Adidas Sport Inspired Arcadeis Shoes,CL7429,4299.0,2149.0,0.5,Adidas Core / Neo,3.7,43
Women'S Adidas Sport Inspired Videll Shoes,CL7370,3799.0,2279.0,0.4,Adidas Core / Neo,3.9,13
Women'S Adidas Running Energyfalcon X Shoes,EE9946,6599.0,3299.0,0.5,Adidas Core / Neo,4.4,81
Women'S Adidas Sport Inspired Videll Shoes,CK9741,3799.0,1899.0,0.5,Adidas Core / Neo,3.6,70
Women'S Adidas Running Hellion Z Shoes,CL7363,3299.0,1979.0,0.4,Adidas Core / Neo,2.7,46
Women'S Adidas Sport Inspired Videll Shoes,CL7372,3799.0,2279.0,0.4,Adidas Core / Neo,3.2,63
Women'S Adidas Sport Inspired Arcadeis Shoes,CL7430,4299.0,2149.0,0.5,Adidas Core / Neo,4.9,95
Women'S Adidas Sport Inspired Cloudfoam Pure Shoes,F34485,5599.0,3359.0,0.4,Adidas Core / Neo,5.0,15
Women'S Adidas Running Hellion Z Shoes,CL7365,3299.0,1979.0,0.4,Adidas Core / Neo,3.6,34
Women'S Adidas Sport Inspired Yking 2.0 Shoes,CL7373,3299.0,1979.0,0.4,Adidas Core / Neo,2.2,86
Women'S Adidas Running Hellion Z Shoes,CL7364,3299.0,1979.0,0.4,Adidas Core / Neo,3.9,3
Women'S Adidas Sport Inspired Yking 2.0 Shoes,CL7374,3299.0,1979.0,0.4,Adidas Core / Neo,3.4,67
Women'S Adidas Sport Inspired Runfalcon Shoes,EE8167,5599.0,3359.0,0.4,Adidas Core / Neo,3.3,5
Women'S Adidas Sport Inspired Quickspike Shoes,CL7410,3999.0,2399.0,0.4,Adidas Core / Neo,4.8,85
Women'S Adidas Sport Inspired Blaze Runner Shoes,CL7401,5599.0,3359.0,0.4,Adidas Core / Neo,3.6,4
Women'S Adidas Sport Inspired Lite Racer Cln Shoes,EE8219,4599.0,2759.0,0.4,Adidas Core / Neo,4.1,35
Women'S Adidas Sport Inspired Blaze Runner Shoes,CL7402,5599.0,3359.0,0.4,Adidas Core / Neo,3.6,13
Women'S Adidas Nova Run X Shoes,EE9929,8599.0,5159.0,0.4,Adidas Core / Neo,2.5,20
Women'S Adidas Sport Inspired Questar Flow Shoes,EE8221,6599.0,3959.0,0.4,Adidas Core / Neo,2.7,41
Women'S Adidas Sport Inspired Questar Flow Shoes,EE8224,6599.0,3959.0,0.4,Adidas Core / Neo,2.5,72
Women'S Adidas Running Energyfalcon X Shoes,EE9941,6599.0,3959.0,0.4,Adidas Core / Neo,1.5,32
Women'S Adidas Running Asweego Shoes,EE8522,7599.0,4559.0,0.4,Adidas Core / Neo,2.6,84
Women'S Adidas Running Sooraj Shoes,EE9932,5599.0,3359.0,0.4,Adidas Core / Neo,5.0,75
Women'S Adidas Sport Inspired Questar Ride Shoes,EE8375,6999.0,4199.0,0.4,Adidas Core / Neo,4.5,4
Men'S Adidas Sport Inspired Run 70S Shoes,EE9798,5599.0,3359.0,0.4,Adidas Core / Neo,3.9,48
Women'S Adidas Running Asweerun Shoes,EE8502,4999.0,2999.0,0.4,Adidas Core / Neo,3.2,12
Women'S Adidas Sport Inspired Archivo Shoes,EF0450,4999.0,2999.0,0.4,Adidas Core / Neo,3.9,83
Women'S Sport Inspired Yking 2.0 Shoes,CL7375,3299.0,1979.0,0.4,Adidas Core / Neo,2.0,11
Women'S Adidas Sport Inspired Archivo Shoes,EF0446,4999.0,2999.0,0.4,Adidas Core / Neo,1.0,42
Women'S Adidas Running Response Trail X Shoes,EF0529,6999.0,4199.0,0.4,Adidas Core / Neo,3.3,69
Women'S Adidas Running Energyfalcon X Shoes,EE9940,6599.0,3959.0,0.4,Adidas Core / Neo,4.1,33
Women'S Adidas Originals Marathon Tech Shoes,EE4954,11999.0,7199.0,0.4,Adidas Originals,4.4,35
